"";"button_action";"variant";"orig.id"
"1225";"no_click";"Variant 1";"1225"
"24409";"no_click";"Variant 1";"24409"
"55860";"no_click";"Variant 2";"55860"
"66813";"no_click";"Variant 2";"66813"
"17482";"no_click";"Variant 1";"17482"
"12614";"no_click";"Variant 1";"12614"
"40590";"no_click";"Variant 1";"40590"
"10337";"no_click";"Variant 1";"10337"
"39809";"no_click";"Variant 1";"39809"
"29950";"no_click";"Variant 1";"29950"
"56175";"no_click";"Variant 2";"56175"
"37900";"no_click";"Variant 1";"37900"
"64890";"no_click";"Variant 2";"64890"
"42587";"no_click";"Variant 1";"42587"
"49524";"no_click";"Variant 2";"49524"
"52838";"no_click";"Variant 2";"52838"
"42115";"no_click";"Variant 1";"42115"
"54525";"no_click";"Variant 2";"54525"
"83142";"no_click";"Variant 2";"83142"
"19220";"no_click";"Variant 1";"19220"
"28000";"no_click";"Variant 1";"28000"
"27702";"no_click";"Variant 1";"27702"
"67153";"no_click";"Variant 2";"67153"
"42679";"click";"Variant 1";"42679"
"14736";"no_click";"Variant 1";"14736"
"60559";"no_click";"Variant 2";"60559"
"70761";"no_click";"Variant 2";"70761"
"11070";"no_click";"Variant 1";"11070"
"15363";"no_click";"Variant 1";"15363"
"52503";"no_click";"Variant 2";"52503"
"28631";"no_click";"Variant 1";"28631"
"44707";"no_click";"Variant 2";"44707"
"21719";"no_click";"Variant 1";"21719"
"48947";"no_click";"Variant 2";"48947"
"55721";"no_click";"Variant 2";"55721"
"2689";"no_click";"Variant 1";"2689"
"4424";"no_click";"Variant 1";"4424"
"56078";"no_click";"Variant 2";"56078"
"48799";"no_click";"Variant 2";"48799"
"66757";"no_click";"Variant 2";"66757"
"70896";"no_click";"Variant 2";"70896"
"3152";"no_click";"Variant 1";"3152"
"65802";"no_click";"Variant 2";"65802"
"46318";"no_click";"Variant 2";"46318"
"54559";"no_click";"Variant 2";"54559"
"62352";"no_click";"Variant 2";"62352"
"84678";"no_click";"Variant 2";"84678"
"58699";"no_click";"Variant 2";"58699"
"17285";"no_click";"Variant 1";"17285"
"40857";"no_click";"Variant 1";"40857"
"14424";"no_click";"Variant 1";"14424"
"62413";"no_click";"Variant 2";"62413"
"56838";"no_click";"Variant 2";"56838"
"31807";"no_click";"Variant 1";"31807"
"17741";"no_click";"Variant 1";"17741"
"35126";"no_click";"Variant 1";"35126"
"70503";"no_click";"Variant 2";"70503"
"76171";"no_click";"Variant 2";"76171"
"20500";"no_click";"Variant 1";"20500"
"51357";"no_click";"Variant 2";"51357"
"38622";"no_click";"Variant 1";"38622"
"749";"no_click";"Variant 1";"749"
"74599";"no_click";"Variant 2";"74599"
"74305";"no_click";"Variant 2";"74305"
"47500";"no_click";"Variant 2";"47500"
"34635";"click";"Variant 1";"34635"
"2359";"no_click";"Variant 1";"2359"
"34148";"no_click";"Variant 1";"34148"
"2558";"no_click";"Variant 1";"2558"
"42145";"no_click";"Variant 1";"42145"
"72895";"no_click";"Variant 2";"72895"
"74510";"no_click";"Variant 2";"74510"
"67500";"no_click";"Variant 2";"67500"
"24378";"no_click";"Variant 1";"24378"
"48436";"no_click";"Variant 2";"48436"
"28714";"no_click";"Variant 1";"28714"
"59931";"no_click";"Variant 2";"59931"
"12775";"click";"Variant 1";"12775"
"9869";"no_click";"Variant 1";"9869"
"25224";"no_click";"Variant 1";"25224"
"14350";"no_click";"Variant 1";"14350"
"41353";"no_click";"Variant 1";"41353"
"34111";"no_click";"Variant 1";"34111"
"56503";"no_click";"Variant 2";"56503"
"35374";"no_click";"Variant 1";"35374"
"76831";"no_click";"Variant 2";"76831"
"46892";"no_click";"Variant 2";"46892"
"52550";"no_click";"Variant 2";"52550"
"46437";"no_click";"Variant 2";"46437"
"33378";"no_click";"Variant 1";"33378"
"39409";"no_click";"Variant 1";"39409"
"73404";"no_click";"Variant 2";"73404"
"13710";"no_click";"Variant 1";"13710"
"51932";"no_click";"Variant 2";"51932"
"84480";"no_click";"Variant 2";"84480"
"27759";"no_click";"Variant 1";"27759"
"56299";"click";"Variant 2";"56299"
"23352";"no_click";"Variant 1";"23352"
"71548";"no_click";"Variant 2";"71548"
"74226";"no_click";"Variant 2";"74226"
"49422";"no_click";"Variant 2";"49422"
"27655";"no_click";"Variant 1";"27655"
"52640";"no_click";"Variant 2";"52640"
"36324";"no_click";"Variant 1";"36324"
"33465";"no_click";"Variant 1";"33465"
"16905";"no_click";"Variant 1";"16905"
"27906";"no_click";"Variant 1";"27906"
"83049";"no_click";"Variant 2";"83049"
"20432";"no_click";"Variant 1";"20432"
"78435";"no_click";"Variant 2";"78435"
"41644";"no_click";"Variant 1";"41644"
"66549";"no_click";"Variant 2";"66549"
"54288";"no_click";"Variant 2";"54288"
"17709";"no_click";"Variant 1";"17709"
"43363";"no_click";"Variant 2";"43363"
"78102";"no_click";"Variant 2";"78102"
"41331";"no_click";"Variant 1";"41331"
"29926";"no_click";"Variant 1";"29926"
"39488";"no_click";"Variant 1";"39488"
"65223";"no_click";"Variant 2";"65223"
"68963";"no_click";"Variant 2";"68963"
"78051";"no_click";"Variant 2";"78051"
"35295";"no_click";"Variant 1";"35295"
"16472";"no_click";"Variant 1";"16472"
"58377";"no_click";"Variant 2";"58377"
"31876";"no_click";"Variant 1";"31876"
"51536";"no_click";"Variant 2";"51536"
"58881";"no_click";"Variant 2";"58881"
"26953";"no_click";"Variant 1";"26953"
"18291";"no_click";"Variant 1";"18291"
"55433";"no_click";"Variant 2";"55433"
"37671";"no_click";"Variant 1";"37671"
"61502";"no_click";"Variant 2";"61502"
"69412";"no_click";"Variant 2";"69412"
"68686";"no_click";"Variant 2";"68686"
"71341";"no_click";"Variant 2";"71341"
"4984";"click";"Variant 1";"4984"
"36846";"no_click";"Variant 1";"36846"
"36212";"no_click";"Variant 1";"36212"
"9947";"no_click";"Variant 1";"9947"
"11875";"no_click";"Variant 1";"11875"
"754";"no_click";"Variant 1";"754"
"21469";"no_click";"Variant 1";"21469"
"12115";"no_click";"Variant 1";"12115"
"83415";"no_click";"Variant 2";"83415"
"43620";"no_click";"Variant 2";"43620"
"38220";"no_click";"Variant 1";"38220"
"50899";"no_click";"Variant 2";"50899"
"12735";"no_click";"Variant 1";"12735"
"25210";"no_click";"Variant 1";"25210"
"50436";"no_click";"Variant 2";"50436"
"6201";"no_click";"Variant 1";"6201"
"30769";"no_click";"Variant 1";"30769"
"23441";"no_click";"Variant 1";"23441"
"10367";"no_click";"Variant 1";"10367"
"72483";"no_click";"Variant 2";"72483"
"11751";"no_click";"Variant 1";"11751"
"48161";"no_click";"Variant 2";"48161"
"29841";"no_click";"Variant 1";"29841"
"23125";"no_click";"Variant 1";"23125"
"4153";"no_click";"Variant 1";"4153"
"55019";"no_click";"Variant 2";"55019"
"889";"no_click";"Variant 1";"889"
"54063";"no_click";"Variant 2";"54063"
"17933";"click";"Variant 1";"17933"
"61484";"no_click";"Variant 2";"61484"
"27084";"no_click";"Variant 1";"27084"
"80763";"no_click";"Variant 2";"80763"
"44256";"no_click";"Variant 2";"44256"
"81579";"no_click";"Variant 2";"81579"
"4786";"no_click";"Variant 1";"4786"
"46081";"no_click";"Variant 2";"46081"
"52990";"no_click";"Variant 2";"52990"
"38511";"no_click";"Variant 1";"38511"
"68370";"no_click";"Variant 2";"68370"
"68364";"no_click";"Variant 2";"68364"
"44489";"no_click";"Variant 2";"44489"
"18338";"no_click";"Variant 1";"18338"
"15046";"no_click";"Variant 1";"15046"
"63769";"click";"Variant 2";"63769"
"57019";"no_click";"Variant 2";"57019"
"73947";"no_click";"Variant 2";"73947"
"40508";"no_click";"Variant 1";"40508"
"51328";"no_click";"Variant 2";"51328"
"43849";"no_click";"Variant 2";"43849"
"21188";"no_click";"Variant 1";"21188"
"61339";"no_click";"Variant 2";"61339"
"18768";"click";"Variant 1";"18768"
"1887";"no_click";"Variant 1";"1887"
"7996";"no_click";"Variant 1";"7996"
"8926";"no_click";"Variant 1";"8926"
"63981";"no_click";"Variant 2";"63981"
"36164";"no_click";"Variant 1";"36164"
"46766";"no_click";"Variant 2";"46766"
"51816";"no_click";"Variant 2";"51816"
"70336";"no_click";"Variant 2";"70336"
"12696";"no_click";"Variant 1";"12696"
"9711";"no_click";"Variant 1";"9711"
"15026";"no_click";"Variant 1";"15026"
"54349";"no_click";"Variant 2";"54349"
"53686";"no_click";"Variant 2";"53686"
"39920";"no_click";"Variant 1";"39920"
"16310";"no_click";"Variant 1";"16310"
"65560";"no_click";"Variant 2";"65560"
"25893";"no_click";"Variant 1";"25893"
"84152";"no_click";"Variant 2";"84152"
"76846";"no_click";"Variant 2";"76846"
"61454";"no_click";"Variant 2";"61454"
"44891";"no_click";"Variant 2";"44891"
"12610";"no_click";"Variant 1";"12610"
"10332";"no_click";"Variant 1";"10332"
"51761";"no_click";"Variant 2";"51761"
"24651";"no_click";"Variant 1";"24651"
"23066";"no_click";"Variant 1";"23066"
"65785";"no_click";"Variant 2";"65785"
"69164";"no_click";"Variant 2";"69164"
"156";"click";"Variant 1";"156"
"22170";"no_click";"Variant 1";"22170"
"20999";"no_click";"Variant 1";"20999"
"66772";"no_click";"Variant 2";"66772"
"71832";"no_click";"Variant 2";"71832"
"79444";"no_click";"Variant 2";"79444"
"25288";"no_click";"Variant 1";"25288"
"81604";"no_click";"Variant 2";"81604"
"35871";"no_click";"Variant 1";"35871"
"50269";"no_click";"Variant 2";"50269"
"43115";"no_click";"Variant 1";"43115"
"78675";"no_click";"Variant 2";"78675"
"46731";"no_click";"Variant 2";"46731"
"75638";"no_click";"Variant 2";"75638"
"77595";"no_click";"Variant 2";"77595"
"55688";"no_click";"Variant 2";"55688"
"19304";"no_click";"Variant 1";"19304"
"30699";"no_click";"Variant 1";"30699"
"63964";"no_click";"Variant 2";"63964"
"23848";"no_click";"Variant 1";"23848"
"31507";"no_click";"Variant 1";"31507"
"15976";"no_click";"Variant 1";"15976"
"28096";"no_click";"Variant 1";"28096"
"60951";"no_click";"Variant 2";"60951"
"33997";"no_click";"Variant 1";"33997"
"23389";"no_click";"Variant 1";"23389"
"3709";"click";"Variant 1";"3709"
"43839";"no_click";"Variant 2";"43839"
"20573";"no_click";"Variant 1";"20573"
"65534";"no_click";"Variant 2";"65534"
"6674";"no_click";"Variant 1";"6674"
"81194";"no_click";"Variant 2";"81194"
"24329";"no_click";"Variant 1";"24329"
"75629";"no_click";"Variant 2";"75629"
"44350";"no_click";"Variant 2";"44350"
"40966";"no_click";"Variant 1";"40966"
"1219";"no_click";"Variant 1";"1219"
"29553";"no_click";"Variant 1";"29553"
"52277";"no_click";"Variant 2";"52277"
"78185";"no_click";"Variant 2";"78185"
"77336";"no_click";"Variant 2";"77336"
"42861";"no_click";"Variant 1";"42861"
"68868";"no_click";"Variant 2";"68868"
"58496";"click";"Variant 2";"58496"
"48243";"click";"Variant 2";"48243"
"34298";"no_click";"Variant 1";"34298"
"63778";"no_click";"Variant 2";"63778"
"68624";"no_click";"Variant 2";"68624"
"7361";"no_click";"Variant 1";"7361"
"398";"no_click";"Variant 1";"398"
"47815";"no_click";"Variant 2";"47815"
"46582";"no_click";"Variant 2";"46582"
"23029";"no_click";"Variant 1";"23029"
"71653";"click";"Variant 2";"71653"
"72603";"no_click";"Variant 2";"72603"
"74832";"no_click";"Variant 2";"74832"
"32045";"no_click";"Variant 1";"32045"
"4107";"no_click";"Variant 1";"4107"
"15041";"no_click";"Variant 1";"15041"
"22585";"no_click";"Variant 1";"22585"
"2398";"no_click";"Variant 1";"2398"
"48685";"no_click";"Variant 2";"48685"
"17530";"no_click";"Variant 1";"17530"
"55804";"no_click";"Variant 2";"55804"
"36965";"no_click";"Variant 1";"36965"
"63442";"no_click";"Variant 2";"63442"
"19086";"no_click";"Variant 1";"19086"
"19813";"no_click";"Variant 1";"19813"
"58099";"no_click";"Variant 2";"58099"
"8680";"no_click";"Variant 1";"8680"
"1281";"no_click";"Variant 1";"1281"
"63691";"no_click";"Variant 2";"63691"
"65830";"no_click";"Variant 2";"65830"
"15919";"no_click";"Variant 1";"15919"
"35959";"no_click";"Variant 1";"35959"
"14842";"no_click";"Variant 1";"14842"
"51394";"no_click";"Variant 2";"51394"
"18831";"no_click";"Variant 1";"18831"
"39681";"no_click";"Variant 1";"39681"
"2040";"no_click";"Variant 1";"2040"
"35857";"no_click";"Variant 1";"35857"
"22813";"no_click";"Variant 1";"22813"
"12052";"no_click";"Variant 1";"12052"
"38335";"no_click";"Variant 1";"38335"
"64154";"no_click";"Variant 2";"64154"
"25869";"no_click";"Variant 1";"25869"
"66899";"no_click";"Variant 2";"66899"
"82731";"no_click";"Variant 2";"82731"
"22896";"no_click";"Variant 1";"22896"
"33834";"click";"Variant 1";"33834"
"6605";"no_click";"Variant 1";"6605"
"16810";"no_click";"Variant 1";"16810"
"16397";"no_click";"Variant 1";"16397"
"70040";"no_click";"Variant 2";"70040"
"76921";"no_click";"Variant 2";"76921"
"16919";"no_click";"Variant 1";"16919"
"28404";"no_click";"Variant 1";"28404"
"66727";"no_click";"Variant 2";"66727"
"989";"no_click";"Variant 1";"989"
"11578";"click";"Variant 1";"11578"
"32653";"no_click";"Variant 1";"32653"
"19893";"no_click";"Variant 1";"19893"
"6482";"no_click";"Variant 1";"6482"
"71980";"no_click";"Variant 2";"71980"
"59590";"no_click";"Variant 2";"59590"
"14880";"no_click";"Variant 1";"14880"
"30795";"no_click";"Variant 1";"30795"
"27009";"no_click";"Variant 1";"27009"
"60338";"no_click";"Variant 2";"60338"
"32543";"no_click";"Variant 1";"32543"
"23763";"no_click";"Variant 1";"23763"
"42876";"no_click";"Variant 1";"42876"
"12953";"no_click";"Variant 1";"12953"
"61476";"no_click";"Variant 2";"61476"
"76635";"no_click";"Variant 2";"76635"
"62664";"no_click";"Variant 2";"62664"
"11362";"no_click";"Variant 1";"11362"
"41383";"no_click";"Variant 1";"41383"
"3710";"no_click";"Variant 1";"3710"
"11666";"no_click";"Variant 1";"11666"
"57124";"no_click";"Variant 2";"57124"
"23729";"no_click";"Variant 1";"23729"
"11600";"no_click";"Variant 1";"11600"
"9257";"no_click";"Variant 1";"9257"
"23098";"no_click";"Variant 1";"23098"
"37830";"no_click";"Variant 1";"37830"
"19756";"no_click";"Variant 1";"19756"
"76112";"no_click";"Variant 2";"76112"
"701";"no_click";"Variant 1";"701"
"2640";"no_click";"Variant 1";"2640"
"25373";"no_click";"Variant 1";"25373"
"5312";"no_click";"Variant 1";"5312"
"30974";"no_click";"Variant 1";"30974"
"4261";"click";"Variant 1";"4261"
"53094";"no_click";"Variant 2";"53094"
"57358";"no_click";"Variant 2";"57358"
"32420";"no_click";"Variant 1";"32420"
"39715";"click";"Variant 1";"39715"
"75397";"no_click";"Variant 2";"75397"
"34645";"no_click";"Variant 1";"34645"
"54125";"no_click";"Variant 2";"54125"
"48900";"no_click";"Variant 2";"48900"
"23139";"no_click";"Variant 1";"23139"
"74273";"no_click";"Variant 2";"74273"
"42378";"no_click";"Variant 1";"42378"
"61807";"click";"Variant 2";"61807"
"52423";"no_click";"Variant 2";"52423"
"83913";"no_click";"Variant 2";"83913"
"80550";"no_click";"Variant 2";"80550"
"3518";"no_click";"Variant 1";"3518"
"24987";"no_click";"Variant 1";"24987"
"72003";"no_click";"Variant 2";"72003"
"30768";"no_click";"Variant 1";"30768"
"4987";"no_click";"Variant 1";"4987"
"62738";"click";"Variant 2";"62738"
"18178";"no_click";"Variant 1";"18178"
"1638";"no_click";"Variant 1";"1638"
"41520";"no_click";"Variant 1";"41520"
"12852";"no_click";"Variant 1";"12852"
"38151";"no_click";"Variant 1";"38151"
"80293";"no_click";"Variant 2";"80293"
"16070";"no_click";"Variant 1";"16070"
"51853";"no_click";"Variant 2";"51853"
"51447";"no_click";"Variant 2";"51447"
"78125";"no_click";"Variant 2";"78125"
"69321";"no_click";"Variant 2";"69321"
"19109";"no_click";"Variant 1";"19109"
"67053";"no_click";"Variant 2";"67053"
"36519";"no_click";"Variant 1";"36519"
"43916";"no_click";"Variant 2";"43916"
"37995";"no_click";"Variant 1";"37995"
"82297";"no_click";"Variant 2";"82297"
"66733";"no_click";"Variant 2";"66733"
"51374";"no_click";"Variant 2";"51374"
"53470";"no_click";"Variant 2";"53470"
"32260";"no_click";"Variant 1";"32260"
"48641";"click";"Variant 2";"48641"
"49714";"no_click";"Variant 2";"49714"
"7500";"no_click";"Variant 1";"7500"
"79060";"no_click";"Variant 2";"79060"
"50103";"no_click";"Variant 2";"50103"
"35307";"no_click";"Variant 1";"35307"
"52729";"no_click";"Variant 2";"52729"
"31744";"no_click";"Variant 1";"31744"
"74564";"click";"Variant 2";"74564"
"37035";"no_click";"Variant 1";"37035"
"26578";"no_click";"Variant 1";"26578"
"4010";"no_click";"Variant 1";"4010"
"81024";"no_click";"Variant 2";"81024"
"43380";"no_click";"Variant 2";"43380"
"6814";"no_click";"Variant 1";"6814"
"60842";"no_click";"Variant 2";"60842"
"38404";"no_click";"Variant 1";"38404"
"27400";"no_click";"Variant 1";"27400"
"44383";"no_click";"Variant 2";"44383"
"64805";"no_click";"Variant 2";"64805"
"57439";"no_click";"Variant 2";"57439"
"23731";"no_click";"Variant 1";"23731"
"15873";"no_click";"Variant 1";"15873"
"29110";"no_click";"Variant 1";"29110"
"765";"no_click";"Variant 1";"765"
"27369";"no_click";"Variant 1";"27369"
"70052";"no_click";"Variant 2";"70052"
"33537";"no_click";"Variant 1";"33537"
"54215";"no_click";"Variant 2";"54215"
"82332";"no_click";"Variant 2";"82332"
"38969";"no_click";"Variant 1";"38969"
"21502";"no_click";"Variant 1";"21502"
"57598";"no_click";"Variant 2";"57598"
"46015";"no_click";"Variant 2";"46015"
"80900";"no_click";"Variant 2";"80900"
"73448";"no_click";"Variant 2";"73448"
"73653";"no_click";"Variant 2";"73653"
"16694";"no_click";"Variant 1";"16694"
"12738";"click";"Variant 1";"12738"
"39926";"no_click";"Variant 1";"39926"
"27048";"no_click";"Variant 1";"27048"
"5616";"no_click";"Variant 1";"5616"
"47524";"no_click";"Variant 2";"47524"
"57790";"no_click";"Variant 2";"57790"
"83521";"no_click";"Variant 2";"83521"
"59579";"no_click";"Variant 2";"59579"
"68367";"no_click";"Variant 2";"68367"
"3906";"click";"Variant 1";"3906"
"41091";"no_click";"Variant 1";"41091"
"45239";"click";"Variant 2";"45239"
"58916";"no_click";"Variant 2";"58916"
"55627";"no_click";"Variant 2";"55627"
"82024";"no_click";"Variant 2";"82024"
"37879";"no_click";"Variant 1";"37879"
"75780";"no_click";"Variant 2";"75780"
"32359";"no_click";"Variant 1";"32359"
"42828";"no_click";"Variant 1";"42828"
"25246";"no_click";"Variant 1";"25246"
"78119";"no_click";"Variant 2";"78119"
"78373";"no_click";"Variant 2";"78373"
"83039";"no_click";"Variant 2";"83039"
"301";"no_click";"Variant 1";"301"
"38830";"no_click";"Variant 1";"38830"
"78769";"no_click";"Variant 2";"78769"
"1691";"no_click";"Variant 1";"1691"
"39990";"no_click";"Variant 1";"39990"
"81848";"no_click";"Variant 2";"81848"
"33742";"no_click";"Variant 1";"33742"
"71925";"no_click";"Variant 2";"71925"
"17212";"no_click";"Variant 1";"17212"
"63315";"no_click";"Variant 2";"63315"
"39835";"no_click";"Variant 1";"39835"
"48300";"no_click";"Variant 2";"48300"
"4229";"no_click";"Variant 1";"4229"
"76604";"no_click";"Variant 2";"76604"
"80022";"no_click";"Variant 2";"80022"
"8578";"no_click";"Variant 1";"8578"
"43580";"no_click";"Variant 2";"43580"
"48748";"no_click";"Variant 2";"48748"
"42906";"no_click";"Variant 1";"42906"
"55252";"no_click";"Variant 2";"55252"
"69909";"no_click";"Variant 2";"69909"
"49789";"no_click";"Variant 2";"49789"
"72351";"no_click";"Variant 2";"72351"
"41332";"no_click";"Variant 1";"41332"
"28346";"no_click";"Variant 1";"28346"
"59511";"no_click";"Variant 2";"59511"
"3351";"no_click";"Variant 1";"3351"
"52871";"no_click";"Variant 2";"52871"
"42183";"no_click";"Variant 1";"42183"
"15152";"no_click";"Variant 1";"15152"
"54693";"no_click";"Variant 2";"54693"
"1070";"no_click";"Variant 1";"1070"
"49074";"no_click";"Variant 2";"49074"
"46541";"no_click";"Variant 2";"46541"
"39797";"no_click";"Variant 1";"39797"
"4187";"no_click";"Variant 1";"4187"
"66077";"no_click";"Variant 2";"66077"
"64743";"no_click";"Variant 2";"64743"
"42386";"click";"Variant 1";"42386"
"18885";"no_click";"Variant 1";"18885"
"43107";"no_click";"Variant 1";"43107"
"15800";"no_click";"Variant 1";"15800"
"6960";"no_click";"Variant 1";"6960"
"27276";"no_click";"Variant 1";"27276"
"61428";"no_click";"Variant 2";"61428"
"14538";"no_click";"Variant 1";"14538"
"59425";"no_click";"Variant 2";"59425"
"11167";"no_click";"Variant 1";"11167"
"68768";"no_click";"Variant 2";"68768"
"51854";"no_click";"Variant 2";"51854"
"34719";"no_click";"Variant 1";"34719"
"65489";"no_click";"Variant 2";"65489"
"64599";"no_click";"Variant 2";"64599"
"9745";"no_click";"Variant 1";"9745"
"33569";"no_click";"Variant 1";"33569"
"34578";"no_click";"Variant 1";"34578"
"23897";"no_click";"Variant 1";"23897"
"24608";"no_click";"Variant 1";"24608"
"2889";"no_click";"Variant 1";"2889"
"66724";"no_click";"Variant 2";"66724"
"76896";"no_click";"Variant 2";"76896"
"67234";"no_click";"Variant 2";"67234"
"83901";"no_click";"Variant 2";"83901"
"7447";"no_click";"Variant 1";"7447"
"73086";"no_click";"Variant 2";"73086"
"46273";"no_click";"Variant 2";"46273"
"83178";"no_click";"Variant 2";"83178"
"63767";"no_click";"Variant 2";"63767"
"79247";"click";"Variant 2";"79247"
"9035";"no_click";"Variant 1";"9035"
"48825";"no_click";"Variant 2";"48825"
"14631";"no_click";"Variant 1";"14631"
"50852";"no_click";"Variant 2";"50852"
"75991";"click";"Variant 2";"75991"
"25197";"no_click";"Variant 1";"25197"
"60673";"no_click";"Variant 2";"60673"
"24703";"no_click";"Variant 1";"24703"
"6966";"no_click";"Variant 1";"6966"
"77409";"no_click";"Variant 2";"77409"
"73915";"no_click";"Variant 2";"73915"
"14214";"no_click";"Variant 1";"14214"
"56220";"no_click";"Variant 2";"56220"
"52453";"no_click";"Variant 2";"52453"
"51032";"click";"Variant 2";"51032"
"6438";"no_click";"Variant 1";"6438"
"78697";"no_click";"Variant 2";"78697"
"61453";"click";"Variant 2";"61453"
"46252";"no_click";"Variant 2";"46252"
"16852";"no_click";"Variant 1";"16852"
"41315";"no_click";"Variant 1";"41315"
"76217";"no_click";"Variant 2";"76217"
"14410";"no_click";"Variant 1";"14410"
"32324";"no_click";"Variant 1";"32324"
"68080";"no_click";"Variant 2";"68080"
"62254";"no_click";"Variant 2";"62254"
"20781";"no_click";"Variant 1";"20781"
"76132";"no_click";"Variant 2";"76132"
"57377";"no_click";"Variant 2";"57377"
"82749";"no_click";"Variant 2";"82749"
"44678";"no_click";"Variant 2";"44678"
"72982";"no_click";"Variant 2";"72982"
"3383";"no_click";"Variant 1";"3383"
"42155";"no_click";"Variant 1";"42155"
"63577";"click";"Variant 2";"63577"
"60693";"no_click";"Variant 2";"60693"
"43502";"no_click";"Variant 2";"43502"
"11874";"no_click";"Variant 1";"11874"
"79955";"no_click";"Variant 2";"79955"
"20921";"no_click";"Variant 1";"20921"
"28823";"no_click";"Variant 1";"28823"
"45488";"no_click";"Variant 2";"45488"
"37579";"no_click";"Variant 1";"37579"
"46722";"no_click";"Variant 2";"46722"
"9423";"no_click";"Variant 1";"9423"
"69186";"no_click";"Variant 2";"69186"
"42181";"no_click";"Variant 1";"42181"
"60029";"no_click";"Variant 2";"60029"
"22924";"no_click";"Variant 1";"22924"
"77067";"no_click";"Variant 2";"77067"
"50728";"no_click";"Variant 2";"50728"
"67506";"no_click";"Variant 2";"67506"
"31877";"no_click";"Variant 1";"31877"
"77151";"no_click";"Variant 2";"77151"
"47404";"no_click";"Variant 2";"47404"
"39253";"no_click";"Variant 1";"39253"
"19801";"no_click";"Variant 1";"19801"
"40361";"no_click";"Variant 1";"40361"
"16074";"no_click";"Variant 1";"16074"
"10496";"no_click";"Variant 1";"10496"
"65312";"no_click";"Variant 2";"65312"
"2404";"no_click";"Variant 1";"2404"
"32249";"no_click";"Variant 1";"32249"
"18997";"no_click";"Variant 1";"18997"
"67697";"no_click";"Variant 2";"67697"
"53894";"no_click";"Variant 2";"53894"
"82941";"no_click";"Variant 2";"82941"
"10895";"no_click";"Variant 1";"10895"
"80294";"no_click";"Variant 2";"80294"
"78492";"no_click";"Variant 2";"78492"
"35522";"no_click";"Variant 1";"35522"
"16779";"no_click";"Variant 1";"16779"
"39950";"no_click";"Variant 1";"39950"
"53182";"no_click";"Variant 2";"53182"
"73755";"no_click";"Variant 2";"73755"
"50458";"no_click";"Variant 2";"50458"
"13499";"no_click";"Variant 1";"13499"
"64659";"no_click";"Variant 2";"64659"
"7243";"no_click";"Variant 1";"7243"
"1683";"no_click";"Variant 1";"1683"
"65757";"no_click";"Variant 2";"65757"
"34429";"click";"Variant 1";"34429"
"80815";"no_click";"Variant 2";"80815"
"77357";"no_click";"Variant 2";"77357"
"73022";"no_click";"Variant 2";"73022"
